date,country,Total,new_cases,population,growth,PerCapita
2020-01-22,Afghanistan,0,0,37172386,0,0
2020-01-23,Afghanistan,0,0,37172386,0,0
2020-01-24,Afghanistan,0,0,37172386,0,0
2020-01-25,Afghanistan,0,0,37172386,0,0
2020-01-26,Afghanistan,0,0,37172386,0,0
2020-01-27,Afghanistan,0,0,37172386,0,0
2020-01-28,Afghanistan,0,0,37172386,0,0
2020-01-29,Afghanistan,0,0,37172386,0,0
2020-01-30,Afghanistan,0,0,37172386,0,0
2020-01-31,Afghanistan,0,0,37172386,0,0
2020-02-01,Afghanistan,0,0,37172386,0,0
2020-02-02,Afghanistan,0,0,37172386,0,0
2020-02-03,Afghanistan,0,0,37172386,0,0
2020-02-04,Afghanistan,0,0,37172386,0,0
2020-02-05,Afghanistan,0,0,37172386,0,0
2020-02-06,Afghanistan,0,0,37172386,0,0
2020-02-07,Afghanistan,0,0,37172386,0,0
2020-02-08,Afghanistan,0,0,37172386,0,0
2020-02-09,Afghanistan,0,0,37172386,0,0
2020-02-10,Afghanistan,0,0,37172386,0,0
2020-02-11,Afghanistan,0,0,37172386,0,0
2020-02-12,Afghanistan,0,0,37172386,0,0
2020-02-13,Afghanistan,0,0,37172386,0,0
2020-02-14,Afghanistan,0,0,37172386,0,0
2020-02-15,Afghanistan,0,0,37172386,0,0
2020-02-16,Afghanistan,0,0,37172386,0,0
2020-02-17,Afghanistan,0,0,37172386,0,0
2020-02-18,Afghanistan,0,0,37172386,0,0
2020-02-19,Afghanistan,0,0,37172386,0,0
2020-02-20,Afghanistan,0,0,37172386,0,0
2020-02-21,Afghanistan,0,0,37172386,0,0
2020-02-22,Afghanistan,0,0,37172386,0,0
2020-02-23,Afghanistan,0,0,37172386,0,0
2020-02-24,Afghanistan,1,1,37172386,1,2.690168987269206e-8
2020-02-25,Afghanistan,1,0,37172386,0,2.690168987269206e-8
2020-02-26,Afghanistan,1,0,37172386,0,2.690168987269206e-8
2020-02-27,Afghanistan,1,0,37172386,0,2.690168987269206e-8
2020-02-28,Afghanistan,1,0,37172386,0,2.690168987269206e-8
2020-02-29,Afghanistan,1,0,37172386,0,2.690168987269206e-8
2020-03-01,Afghanistan,1,0,37172386,0,2.690168987269206e-8
2020-03-02,Afghanistan,1,0,37172386,0,2.690168987269206e-8
2020-03-03,Afghanistan,1,0,37172386,0,2.690168987269206e-8
2020-03-04,Afghanistan,1,0,37172386,0,2.690168987269206e-8
2020-03-05,Afghanistan,1,0,37172386,0,2.690168987269206e-8
2020-03-06,Afghanistan,1,0,37172386,0,2.690168987269206e-8
2020-03-07,Afghanistan,1,0,37172386,0,2.690168987269206e-8
2020-03-08,Afghanistan,4,3,37172386,0.8660254037844386,1.0760675949076823e-7
2020-03-09,Afghanistan,4,0,37172386,0,1.0760675949076823e-7
2020-03-10,Afghanistan,5,1,37172386,0.44721359549995793,1.345084493634603e-7
2020-03-11,Afghanistan,7,2,37172386,0.5345224838248488,1.883118291088444e-7
2020-03-12,Afghanistan,7,0,37172386,0,1.883118291088444e-7
2020-03-13,Afghanistan,7,0,37172386,0,1.883118291088444e-7
2020-03-14,Afghanistan,11,4,37172386,0.6030226891555273,2.9591858859961264e-7
2020-03-15,Afghanistan,16,5,37172386,0.5590169943749475,4.3042703796307294e-7
2020-03-16,Afghanistan,21,5,37172386,0.4879500364742666,5.649354873265332e-7
2020-03-17,Afghanistan,22,1,37172386,0.21320071635561044,5.918371771992253e-7
2020-03-18,Afghanistan,22,0,37172386,0,5.918371771992253e-7
2020-03-19,Afghanistan,22,0,37172386,0,5.918371771992253e-7
2020-03-20,Afghanistan,24,2,37172386,0.28867513459481287,6.456405569446094e-7
2020-03-21,Afghanistan,24,0,37172386,0,6.456405569446094e-7
2020-03-22,Afghanistan,40,16,37172386,0.6324555320336759,1.0760675949076823e-6
2020-03-23,Afghanistan,40,0,37172386,0,1.0760675949076823e-6
2020-03-24,Afghanistan,74,34,37172386,0.677834389404565,1.990725050579212e-6
2020-03-25,Afghanistan,84,10,37172386,0.3450327796711771,2.2597419493061327e-6
2020-03-26,Afghanistan,94,10,37172386,0.3261640365267211,2.5287588480330534e-6
2020-03-27,Afghanistan,110,16,37172386,0.3813850356982369,2.9591858859961263e-6
2020-03-28,Afghanistan,110,0,37172386,0,2.9591858859961263e-6
2020-03-29,Afghanistan,120,10,37172386,0.28867513459481287,3.228202784723047e-6
2020-03-30,Afghanistan,170,50,37172386,0.5423261445466404,4.57328727835765e-6
2020-03-31,Afghanistan,174,4,37172386,0.15161960871578067,4.680894037848418e-6
2020-04-01,Afghanistan,237,63,37172386,0.5155800469472481,6.375700499828018e-6
2020-04-02,Afghanistan,273,36,37172386,0.36313651960128146,7.344161335244931e-6
2020-04-03,Afghanistan,281,8,37172386,0.16872981624383912,7.559374854226468e-6
2020-04-04,Afghanistan,299,18,37172386,0.24535824603285922,8.043605271934926e-6
2020-04-05,Afghanistan,349,50,37172386,0.3785055820522323,9.388689765569528e-6
2020-04-06,Afghanistan,367,18,37172386,0.22146404115766866,9.872920183277985e-6
2020-04-07,Afghanistan,423,56,37172386,0.36385121527321024,1.137941481614874e-5
2020-04-08,Afghanistan,444,21,37172386,0.21747941810042,1.1944350303475273e-5
2020-04-09,Afghanistan,484,40,37172386,0.28747978728803447,1.3020417898382956e-5
2020-04-10,Afghanistan,521,37,37172386,0.26649066488747575,1.4015780423672562e-5
