date	country	Total	new_cases
2020-01-22	Afghanistan	0	0
2020-01-23	Afghanistan	0	0
2020-01-24	Afghanistan	0	0
2020-01-25	Afghanistan	0	0
2020-01-26	Afghanistan	0	0
2020-01-27	Afghanistan	0	0
2020-01-28	Afghanistan	0	0
2020-01-29	Afghanistan	0	0
2020-01-30	Afghanistan	0	0
2020-01-31	Afghanistan	0	0
2020-02-01	Afghanistan	0	0
2020-02-02	Afghanistan	0	0
2020-02-03	Afghanistan	0	0
2020-02-04	Afghanistan	0	0
2020-02-05	Afghanistan	0	0
2020-02-06	Afghanistan	0	0
2020-02-07	Afghanistan	0	0
2020-02-08	Afghanistan	0	0
2020-02-09	Afghanistan	0	0
2020-02-10	Afghanistan	0	0
2020-02-11	Afghanistan	0	0
2020-02-12	Afghanistan	0	0
2020-02-13	Afghanistan	0	0
2020-02-14	Afghanistan	0	0
2020-02-15	Afghanistan	0	0
2020-02-16	Afghanistan	0	0
2020-02-17	Afghanistan	0	0
2020-02-18	Afghanistan	0	0
2020-02-19	Afghanistan	0	0
2020-02-20	Afghanistan	0	0
2020-02-21	Afghanistan	0	0
2020-02-22	Afghanistan	0	0
2020-02-23	Afghanistan	0	0
2020-02-24	Afghanistan	1	1
2020-02-25	Afghanistan	1	0
2020-02-26	Afghanistan	1	0
2020-02-27	Afghanistan	1	0
2020-02-28	Afghanistan	1	0
2020-02-29	Afghanistan	1	0
2020-03-01	Afghanistan	1	0
2020-03-02	Afghanistan	1	0
2020-03-03	Afghanistan	1	0
2020-03-04	Afghanistan	1	0
2020-03-05	Afghanistan	1	0
2020-03-06	Afghanistan	1	0
2020-03-07	Afghanistan	1	0
2020-03-08	Afghanistan	4	3
2020-03-09	Afghanistan	4	0
2020-03-10	Afghanistan	5	1
2020-03-11	Afghanistan	7	2
2020-03-12	Afghanistan	7	0
2020-03-13	Afghanistan	7	0
2020-03-14	Afghanistan	11	4
2020-03-15	Afghanistan	16	5
2020-03-16	Afghanistan	21	5
2020-03-17	Afghanistan	22	1
2020-03-18	Afghanistan	22	0
2020-03-19	Afghanistan	22	0
2020-03-20	Afghanistan	24	2
2020-03-21	Afghanistan	24	0
2020-03-22	Afghanistan	40	16
2020-03-23	Afghanistan	40	0
2020-03-24	Afghanistan	74	34
2020-03-25	Afghanistan	84	10
2020-03-26	Afghanistan	94	10
2020-03-27	Afghanistan	110	16
2020-03-28	Afghanistan	110	0
2020-03-29	Afghanistan	120	10
2020-03-30	Afghanistan	170	50
2020-03-31	Afghanistan	174	4
2020-04-01	Afghanistan	237	63
2020-04-02	Afghanistan	273	36
2020-04-03	Afghanistan	281	8
2020-04-04	Afghanistan	299	18
2020-04-05	Afghanistan	349	50
2020-04-06	Afghanistan	367	18
2020-04-07	Afghanistan	423	56
2020-04-08	Afghanistan	444	21
2020-04-09	Afghanistan	484	40
2020-04-10	Afghanistan	521	37
2020-04-11	Afghanistan	555	34
2020-04-12	Afghanistan	607	52
2020-04-13	Afghanistan	665	58
2020-04-14	Afghanistan	714	49
2020-04-15	Afghanistan	784	70
2020-04-16	Afghanistan	840	56
2020-04-17	Afghanistan	906	66
2020-04-18	Afghanistan	933	27
2020-04-19	Afghanistan	996	63
2020-04-20	Afghanistan	1026	30
2020-04-21	Afghanistan	1092	66
2020-04-22	Afghanistan	1176	84
2020-04-23	Afghanistan	1279	103
2020-04-24	Afghanistan	1351	72
2020-04-25	Afghanistan	1463	112
2020-04-26	Afghanistan	1531	68
2020-04-27	Afghanistan	1703	172
2020-04-28	Afghanistan	1828	125
2020-04-29	Afghanistan	1939	111
2020-04-30	Afghanistan	2171	232
2020-05-01	Afghanistan	2335	164
2020-05-02	Afghanistan	2469	134
2020-05-03	Afghanistan	2704	235
2020-05-04	Afghanistan	2894	190
2020-05-05	Afghanistan	3224	330
2020-05-06	Afghanistan	3392	168
2020-05-07	Afghanistan	3563	171
2020-05-08	Afghanistan	3778	215
2020-05-09	Afghanistan	4033	255
2020-05-10	Afghanistan	4402	369
2020-05-11	Afghanistan	4687	285
2020-05-12	Afghanistan	4963	276
2020-05-13	Afghanistan	5226	263
2020-05-14	Afghanistan	5639	413
2020-05-15	Afghanistan	6053	414
2020-05-16	Afghanistan	6402	349
2020-05-17	Afghanistan	6664	262
2020-05-18	Afghanistan	7072	408
2020-05-19	Afghanistan	7653	581
2020-01-22	Albania	0	0
2020-01-23	Albania	0	0
2020-01-24	Albania	0	0
2020-01-25	Albania	0	0
2020-01-26	Albania	0	0
2020-01-27	Albania	0	0
2020-01-28	Albania	0	0
2020-01-29	Albania	0	0
2020-01-30	Albania	0	0
2020-01-31	Albania	0	0
2020-02-01	Albania	0	0
2020-02-02	Albania	0	0
2020-02-03	Albania	0	0
2020-02-04	Albania	0	0
2020-02-05	Albania	0	0
2020-02-06	Albania	0	0
2020-02-07	Albania	0	0
2020-02-08	Albania	0	0
2020-02-09	Albania	0	0
2020-02-10	Albania	0	0
2020-02-11	Albania	0	0
2020-02-12	Albania	0	0
2020-02-13	Albania	0	0
2020-02-14	Albania	0	0
2020-02-15	Albania	0	0
2020-02-16	Albania	0	0
2020-02-17	Albania	0	0
2020-02-18	Albania	0	0
2020-02-19	Albania	0	0
2020-02-20	Albania	0	0
2020-02-21	Albania	0	0
2020-02-22	Albania	0	0
2020-02-23	Albania	0	0
2020-02-24	Albania	0	0
2020-02-25	Albania	0	0
2020-02-26	Albania	0	0
2020-02-27	Albania	0	0
2020-02-28	Albania	0	0
2020-02-29	Albania	0	0
2020-03-01	Albania	0	0
2020-03-02	Albania	0	0
2020-03-03	Albania	0	0
2020-03-04	Albania	0	0
2020-03-05	Albania	0	0
2020-03-06	Albania	0	0
2020-03-07	Albania	0	0
2020-03-08	Albania	0	0
2020-03-09	Albania	2	2
2020-03-10	Albania	10	8
2020-03-11	Albania	12	2
2020-03-12	Albania	23	11
2020-03-13	Albania	33	10
2020-03-14	Albania	38	5
2020-03-15	Albania	42	4
2020-03-16	Albania	51	9
2020-03-17	Albania	55	4
2020-03-18	Albania	59	4
2020-03-19	Albania	64	5
2020-03-20	Albania	70	6
2020-03-21	Albania	76	6
2020-03-22	Albania	89	13
2020-03-23	Albania	104	15
2020-03-24	Albania	123	19
2020-03-25	Albania	146	23
2020-03-26	Albania	174	28
2020-03-27	Albania	186	12
2020-03-28	Albania	197	11
2020-03-29	Albania	212	15
2020-03-30	Albania	223	11
2020-03-31	Albania	243	20
2020-04-01	Albania	259	16
2020-04-02	Albania	277	18
2020-04-03	Albania	304	27
2020-04-04	Albania	333	29
2020-04-05	Albania	361	28
2020-04-06	Albania	377	16
2020-04-07	Albania	383	6
2020-04-08	Albania	400	17
2020-04-09	Albania	409	9
2020-04-10	Albania	416	7
2020-04-11	Albania	433	17
2020-04-12	Albania	446	13
2020-04-13	Albania	467	21
2020-04-14	Albania	475	8
2020-04-15	Albania	494	19
2020-04-16	Albania	518	24
2020-04-17	Albania	539	21
2020-04-18	Albania	548	9
2020-04-19	Albania	562	14
2020-04-20	Albania	584	22
2020-04-21	Albania	609	25
2020-04-22	Albania	634	25
2020-04-23	Albania	663	29
2020-04-24	Albania	678	15
2020-04-25	Albania	712	34
2020-04-26	Albania	726	14
2020-04-27	Albania	736	10
2020-04-28	Albania	750	14
2020-04-29	Albania	766	16
2020-04-30	Albania	773	7
2020-05-01	Albania	782	9
2020-05-02	Albania	789	7
2020-05-03	Albania	795	6
